bookId=18dd676c7970568ce29d7dbb7f0d399e8f649e966f010c286f470a0cc9bea62d
title=The End of the Affair
metric=tf_idf
limit=1000
columns=rank lemma tf_idf_score total_count global_frequency_zipf

1	nothing	6.161870	95	3.300000
2	's	5.433722	228	
3	something	5.276182	56	3.390000
4	crompton	5.254772	21	2.600000
5	waterbury	5.212008	23	2.720000
6	maurice	5.027273	88	3.760000
7	smythe	4.653499	17	2.780000
8	’d	4.624973	101	
9	bendrix	4.543295	93	
10	parkis	4.430817	83	
11	’ll	4.430817	83	
12	always	4.369448	78	
13	everything	4.302160	33	3.560000
14	sarah	4.126303	227	4.480000
15	bertram	4.116236	14	2.960000
16	anything	4.110874	60	
17	perhaps	4.094345	59	
18	sometimes	3.871201	47	
19	miles	3.850148	46	
20	dunstan	3.787752	9	2.710000
21	morning	3.718323	23	3.660000
22	evening	3.715561	22	3.630000
23	henry	3.702974	356	4.740000
24	sylvia	3.594879	19	3.600000
25	jealousy	3.591201	23	3.740000
26	vapour	3.572864	10	3.020000
27	savage	3.466464	34	4.050000
28	maid	3.354979	22	3.860000
29	’re	3.295837	26	
30	lover	3.272244	42	4.260000
31	landlady	3.223134	7	2.900000
32	towards	3.218876	24	
33	cheek	3.198204	22	3.960000
34	pimp	3.193105	11	3.430000
35	bitterness	3.168256	11	3.450000
36	1944	3.044522	20	
37	whisky	3.039465	12	3.630000
38	materialist	3.037032	5	2.610000
39	cedar	3.033016	14	3.760000
40	telephon	3.006431	6	2.910000
41	jealous	2.995732	19	
42	suppose	2.971537	61	4.560000
43	phoney	2.965362	5	2.690000
44	ashtray	2.938486	5	2.720000
45	crematorium	2.884733	5	2.780000
46	deceive	2.878364	8	3.380000
47	cremation	2.860488	6	3.060000
48	hatred	2.833213	16	
49	n’t	2.833213	16	
50	vow	2.809154	9	3.560000
51	whisper	2.807945	11	3.740000
52	squander	2.786186	5	2.890000
53	stair	2.786031	19	4.140000
54	onion	2.784205	13	3.890000
55	squeak	2.777227	5	2.900000
56	rationalist	2.768233	4	2.560000
57	disprove	2.750351	5	2.930000
58	doorway	2.735545	8	3.510000
59	stranger	2.733126	23	4.280000
60	dressing	2.732433	5	2.950000
61	pray	2.720958	29	4.400000
62	clothes	2.708050	14	
63	telephone	2.703952	29	4.410000
64	sherry	2.703274	7	3.400000
65	coincidence	2.691838	13	3.960000
66	tenderness	2.685356	6	3.240000
67	parcel	2.682512	9	3.670000
68	cupboard	2.661685	7	3.440000
69	smythey	2.639057	13	
70	upstairs	2.639057	13	
71	vigo	2.631431	4	2.730000
72	cough	2.629073	12	3.950000
73	quarrel	2.617249	6	3.310000
74	envy	2.589727	10	3.840000
75	paddington	2.589092	5	3.110000
76	afterwards	2.564949	12	
77	smyto	2.564949	12	
78	worried	2.564949	12	
79	shilling	2.544298	5	3.160000
80	prayer	2.542912	24	4.420000
81	insecurity	2.536919	7	3.560000
82	awfully	2.519954	6	3.410000
83	fool	2.517495	18	4.290000
84	companionship	2.517422	5	3.190000
85	desire	2.509588	36	4.610000
86	tease	2.505727	7	3.590000
87	superstition	2.499504	5	3.210000
88	hat	2.474962	28	4.530000
89	marry	2.472834	21	4.400000
90	moustache	2.472628	5	3.240000
91	disappointment	2.472482	11	4.010000
92	siren	2.471306	6	3.460000
93	memento	2.470487	4	2.930000
94	beginning	2.453741	7	3.640000
95	hysterical	2.451847	6	3.480000
96	happiness	2.445685	22	4.440000
97	desert	2.435618	20	4.400000
98	writing	2.421874	10	3.980000
99	anger	2.405173	20	4.420000
100	funeral	2.399718	18	4.370000
101	1946	2.397895	10	
102	interested	2.397895	10	
103	angrily	2.383040	5	3.340000
104	complacency	2.373921	4	3.050000
105	confessional	2.373921	4	3.050000
106	lust	2.370563	7	3.720000
107	odd	2.366628	19	4.420000
108	promise	2.362997	38	4.710000
109	pencil	2.360150	9	3.950000
110	sit	2.359753	72	4.900000
111	strange	2.356700	31	4.640000
112	drip	2.354551	6	3.580000
113	desk	2.351650	19	4.430000
114	dreary	2.349779	4	3.080000
115	alter	2.337948	10	4.050000
116	admire	2.337124	9	3.970000
117	pity	2.325611	9	3.980000
118	misery	2.318072	8	3.890000
119	lay	2.312814	29	4.640000
120	suddenly	2.309766	33	4.690000
121	catholic	2.304089	23	4.550000
122	enormous	2.302585	9	
123	golders	2.302585	9	
124	satisfied	2.302585	9	
125	belong	2.294903	16	4.380000
126	unhappiness	2.293449	4	3.150000
